"FIPS","Geographic Identifier","Name of Area","Qualifying Name","State/U.S.-Abbreviation (USPS)","Summary Level","Geographic Component","File Identification","Logical Record Number","US","Region","Division","State (Census Code)","State (FIPS)","County","County Subdivision (FIPS)","Place (FIPS Code)","Place (State FIPS + Place FIPS)","Census Tract","Block Group","Consolidated City","American Indian Area/Alaska Native Area/Hawaiian Home Land (Census)","American Indian Area/Alaska Native Area/Hawaiian Home Land (FIPS)","American Indian Trust Land/Hawaiian Home Land Indicator","American Indian Tribal Subdivision (Census)","American Indian Tribal Subdivision (FIPS)","Alaska Native Regional Corporation (FIPS)","Metropolitan and Micropolitan Statistical Area","Combined Statistical Area","Metropolitan Division","Metropolitan Area Central City","Metropolitan/Micropolitan Indicator Flag","New England City and Town Combined Statistical Area","New England City and Town Area","New England City and Town Area Division","Urban Area","Urban Area Central Place","Current Congressional District ***","State Legislative District Upper","State Legislative District Lower","Voting District","ZIP Code Tabulation Area (3-digit)","ZIP Code Tabulation Area (5-digit)","Subbarrio (FIPS)","School District (Elementary)","School District (Secondary)","School District (Unified)","Urban/Rural","Principal City Indicator","Traffic Analysis Zone","Urban Growth Area","Tribal Tract","Tribal Block Group","Public Use Microdata Area - 5% File","Public Use Microdata Area - 1% File","Total Population:","Total Population: Male","Total Population: Female","Median Age:","Median Age: Male Population","Median Age: Female Population","Population 25 Years and Over","Population 25 Years and Over: Less than High School","Population 25 Years and Over: High School Diploma","Population 25 Years and Over: Bachelor's Degree or Better","Civilian Population in Labor Force 16 Years and Over:","Civilian Population in Labor Force 16 Years and Over: Employed","Civilian Population in Labor Force 16 Years and Over: Unemployed","Median Household Income (In 2018 Inflation Adjusted Dollars)","Gini Index","Families:","Families: Income Below Poverty Level","Families: Income Below Poverty Level: Married Couple Family: with Related Child Living  Bellow Poverty Level","Families: Income Below Poverty Level: Married Couple Family: No Related Children Under 18 Years","Families: Income Below Poverty Level: Male Householder, No Wife Present","Families: Income Below Poverty Level: Male Householder, No Wife Present: with Related Children Under 18 Years","Families: Income Below Poverty Level: Male Householder, No Wife Present: No Related Children Under 18 Years","Families: Income Below Poverty Level: Female Householder, No Husband Present","Families: Income Below Poverty Level: Female Householder, No Husband Present: with Related Children Under 18 Years","Families: Income Below Poverty Level: Female Householder, No Husband Present: No Related Children Under 18 Years","Families: Income At or Above Poverty Level"
Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A02001_001,SE_A02001_002,SE_A02001_003,SE_A01004_001,SE_A01004_002,SE_A01004_003,SE_B12001_001,SE_B12001_002,SE_B12001_003,SE_B12001_004,SE_A17005_001,SE_A17005_002,SE_A17005_003,SE_A14006_001,SE_A14028_001,SE_A13002_001,SE_A13002_002,SE_A13002_003,SE_A13002_004,SE_A13002_005,SE_A13002_006,SE_A13002_007,SE_A13002_008,SE_A13002_009,SE_A13002_010,SE_A13002_011
"01","04000US01","Alabama","Alabama","al","040","00","ACSSF","0000001",,,,,"01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4864680,2355799,2508881,38.9,37.4,40.3,3299958,470043,2007320,822595,2224606,2076708,147898,48486,0.4797,1229905,160066,28437,22527,13914,9370,4544,95188,80136,15052,1069839
"02","04000US02","Alaska","Alaska","ak","040","00","ACSSF","0000001",,,,,"02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,738516,385579,352937,34,33.6,34.5,477727,34760,303322,139645,379219,351152,28067,76715,0.4237,167633,12553,2962,1387,2242,1820,422,5962,5508,454,155080
"04","04000US04","Arizona","Arizona","az","040","00","ACSSF","0000001",,,,,"04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6946685,3453439,3493246,37.4,36.1,38.7,4633932,613002,2682859,1338071,3256192,3045978,210214,56213,0.4681,1648126,190407,49571,30865,23023,17224,5799,86948,74606,12342,1457719
"05","04000US05","Arkansas","Arkansas","ar","040","00","ACSSF","0000001",,,,,"05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2990671,1468412,1522259,37.9,36.6,39.3,1999307,276029,1271657,451621,1368037,1292263,75774,45726,0.4765,764816,98342,20782,14351,10113,7351,2762,53096,45390,7706,666474
"06","04000US06","California","California","ca","040","00","ACSSF","0000001",,,,,"06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39148760,19453769,19694991,36.3,35.2,37.5,26218885,4475565,13024583,8718737,19630514,18309012,1321502,71228,0.4891,8915228,927827,265996,132726,107360,77854,29506,421745,351367,70378,7987401
"08","04000US08","Colorado","Colorado","co","040","00","ACSSF","0000001",,,,,"08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5531141,2780831,2750310,36.6,35.7,37.6,3748592,322718,1920982,1504892,2978700,2839374,139326,68811,0.4578,1351683,96899,24401,15357,9750,7371,2379,47391,40670,6721,1254784
"09","04000US09","Connecticut","Connecticut","ct","040","00","ACSSF","0000001",,,,,"09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3581504,1747131,1834373,40.8,39.1,42.6,2478708,235826,1277655,965227,1936354,1810445,125909,76106,0.496,892940,61685,10014,8456,6421,4729,1692,36794,30540,6254,831255
"10","04000US10","Delaware","Delaware","de","040","00","ACSSF","0000001",,,,,"10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,949495,459570,489925,40.2,38.5,42,659979,67482,385265,207232,479447,450946,28501,65627,0.4546,237901,18984,3435,2762,1927,1420,507,10860,9328,1532,218917
"11","04000US11","District of Columbia","District of Columbia","dc","040","00","ACSSF","0000001",,,,,"11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,684498,324881,359617,33.9,33.8,34.1,486981,45805,160827,280349,398567,369194,29373,82604,0.5283,121788,15703,1109,1084,1470,908,562,12040,9662,2378,106085
